432,433,432,433,432,433,432,433,432,433,432,433,432,433,432,433,432,433,432
98,98,98,98,99,6,6,6,1,1,1,1,1,1,1,1,1,1,1
106,106,106,106,107,6,6,6,1,1,1,1,1,1,1,1,1,1,1
106,106,106,106,107,6,6,6,1,1,1,1,1,1,6,6,1,1,1
106,106,106,106,107,6,6,6,1,1,1,1,1,1,6,6,1,1,1
106,106,106,106,107,6,6,6,1,1,1,1,1,1,6,6,1,1,1
114,102,106,100,115,6,6,6,1,1,1,1,1,1,1,1,1,1,1
1,105,106,107,1,1,1,1,1,1,104,1,1,1,1,1,1,1,1
1,105,106,108,122,122,122,122,122,122,146,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1
